id,menu_id,name,description,price,image_url,category,available,popular,prep_time,created_at,updated_at,source_url,bar_id,subcategory,is_vegetarian,allergens,dietary_tags,category_id
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Vegetable Spring Rolls (V),Served with sweet chilli dip,7.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Meat Balls,Beef and pork mince balls with jus,9.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Fish Cod Goujons,Served with lemon mayonnaise,9.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Chicken Satay Skewers,Served with peanut sauce dip,10.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Southern Fried Chicken Strips,Served with red white dip,10.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Mini Angus Cheese Burgers (4 Pieces), ,12.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Traditional Nachos (V),"Cheese sauce, jalapeño, tomato salsa",12.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Deep Fried Calamari,"Breaded, served with tartar sauce and lemon wedge",14.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Chicken & Spianata Nachos,"Diced chicken, onions, salami spianata, nacho cheese sauce",15.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Grilled Lamb Kofta,Served with yoghurt mint dip,10.95,,STARTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Ultimate Garlic Bread (V),Soft tear and share buns with garlic butter,6.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Ultimate Garlic Bread with Cheese (V),Soft tear and share buns with garlic butter and cheese,7.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Proper Stealth Fries (V), ,5.5,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Cheese Stealth Fries (V) (H),Served with curry ketchup,5.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Beer Battered Onion Rings (V),Served with spicy mayo,8.5,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Spicy Pork Sausages, ,7.5,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Fish Cod Bites,Served with tartar sauce,9.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Fish Popcorn,Served with curry ketchup,9.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Crispy Chicken Wings,Served with sweet chilli dip,11.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Camembert Cheese Bites, ,9.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Traditional Focaccia (V),"Cherry tomatoes, black olives, rosemary, and olive oil",9.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Cheesy Bruschetta (V),"Tomatoes, garlic, basil, and melted cheese",6.95,,NIBBLES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Bruschetta (V),"Tomatoes, garlic, and basil",5.95,,NIBBLES,,,,,,,,,,,,
