Bar name,Category,Item name,Description,Price
The Londoner British Pub Sliema,STARTERS,Vegetable Spring Rolls (V),Served with sweet chilli dip,7.95
The Londoner British Pub Sliema,STARTERS,Meat Balls,Beef and pork mince balls with jus,9.95
The Londoner British Pub Sliema,STARTERS,Fish Cod Goujons,Served with lemon mayonnaise,9.95
The Londoner British Pub Sliema,STARTERS,Chicken Satay Skewers,Served with peanut sauce dip,10.95
The Londoner British Pub Sliema,STARTERS,Southern Fried Chicken Strips,Served with red white dip,10.95
The Londoner British Pub Sliema,STARTERS,Mini Angus Cheese Burgers (4 Pieces), ,12.95
The Londoner British Pub Sliema,STARTERS,Traditional Nachos (V),"Cheese sauce, jalapeño, tomato salsa",12.95
The Londoner British Pub Sliema,STARTERS,Deep Fried Calamari,"Breaded, served with tartar sauce and lemon wedge",14.95
The Londoner British Pub Sliema,STARTERS,Chicken & Spianata Nachos,"Diced chicken, onions, salami spianata, nacho cheese sauce",15.95
The Londoner British Pub Sliema,STARTERS,Grilled Lamb Kofta,Served with yoghurt mint dip,10.95
The Londoner British Pub Sliema,NIBBLES,Ultimate Garlic Bread (V),Soft tear and share buns with garlic butter,6.95
The Londoner British Pub Sliema,NIBBLES,Ultimate Garlic Bread with Cheese (V),Soft tear and share buns with garlic butter and cheese,7.95
The Londoner British Pub Sliema,NIBBLES,Proper Stealth Fries (V), ,5.5
The Londoner British Pub Sliema,NIBBLES,Cheese Stealth Fries (V) (H),Served with curry ketchup,5.95
The Londoner British Pub Sliema,NIBBLES,Beer Battered Onion Rings (V),Served with spicy mayo,8.5
The Londoner British Pub Sliema,NIBBLES,Spicy Pork Sausages, ,7.5
The Londoner British Pub Sliema,NIBBLES,Fish Cod Bites,Served with tartar sauce,9.95
The Londoner British Pub Sliema,NIBBLES,Fish Popcorn,Served with curry ketchup,9.95
The Londoner British Pub Sliema,NIBBLES,Crispy Chicken Wings,Served with sweet chilli dip,11.95
The Londoner British Pub Sliema,NIBBLES,Camembert Cheese Bites, ,9.95
The Londoner British Pub Sliema,NIBBLES,Traditional Focaccia (V),"Cherry tomatoes, black olives, rosemary, and olive oil",9.95
The Londoner British Pub Sliema,NIBBLES,Cheesy Bruschetta (V),"Tomatoes, garlic, basil, and melted cheese",6.95
The Londoner British Pub Sliema,NIBBLES,Bruschetta (V),"Tomatoes, garlic, and basil",5.95
The Londoner British Pub Sliema,SALADS,Royal Chicken Caesar,"Grilled chicken, lettuce, bacon, parmesan, croutons, tomatoes, caesar dressing",15.95
The Londoner British Pub Sliema,SALADS,Royal Salmon Caesar,"Oven baked salmon fillet, ricotta, lettuce, cucumbers, onions, peppers, black olives, parmesan, croutons, tomatoes, caesar dressing",17.95
The Londoner British Pub Sliema,PLATTERS,West End Oriental Platter,"4 pork ribs, meatballs, 2 vegetable spring rolls, fish bites, 2 lamb koftas, 4 chicken wings, fish popcorn, 2 chicken satays, stealth fries, garlic bread, and dips",39.95
The Londoner British Pub Sliema,PLATTERS,Seafood & Fish Platter,"Fish bites, deep fried calamari, fish popcorn, scampi, Londoner fish & chips, garlic bread, and dips",39.95
The Londoner British Pub Sliema,PLATTERS,Drinker’s Favourite,"2 mini beef burgers, 2 lamb koftas, 4 chicken wings, spiced honey pork sausages, 2 chicken strips, 4 pork ribs, meatballs, garlic bread, 4 onion rings, and stealth fries smothered in melted cheese",42.95
The Londoner British Pub Sliema,PLATTERS,Cold Cuts & Cheese Platter,"Selection of Italian cold cuts and British cheeses, served with olives, mixed fruit & nuts, water biscuits, and grissini",32.95
The Londoner British Pub Sliema,FISH & CHIPS,The Londoner Fish & Chips,"Beer battered cod, mushy peas, tartar sauce & stealth fries",19.95
The Londoner British Pub Sliema,HOT DOG,Londoner Hot Dog,"Grilled frankfurter, crispy onions, melted cheese, Heinz baked beans, and stealth fries",12.95
The Londoner British Pub Sliema,CLASSICS,Bangers & Mash,"Cumberland sausages, mashed potatoes, and onion gravy",14.95
The Londoner British Pub Sliema,CLASSICS,Half Roast Chicken in a Basket,Served with gravy and stealth fries,16.95
The Londoner British Pub Sliema,CLASSICS,Chicken Tikka Masala (H),Served with basmati rice and pita bread,16.95
The Londoner British Pub Sliema,CLASSICS,Oven Baked Salmon Fillet,"Served with mashed potatoes, fresh vegetables, and tarragon sauce",23.95
The Londoner British Pub Sliema,PASTA,Baked Potato Gnocchi,"Creamy dolcelatte cheese sauce, walnuts, red Leicester, and melted cheddar cheese",13.5
The Londoner British Pub Sliema,PASTA,Garganelli Chicken Tartufo,"Chicken, mushrooms, spring onions, garlic, white wine, and truffle cream",15.5
The Londoner British Pub Sliema,PASTA,Garganelli Beef Porcini,"Beef chunks, porcini mushrooms, red wine, garlic, spring onions, jus, cream, and grana shavings",15.95
